what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1300841085226
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1300841085226
os,sysinfo,,,"macosx",1300841085231
arch,sysinfo,,,"x86_64",1300841085231
ws,sysinfo,,,"cocoa",1300841085231
locale,sysinfo,,,"en_US",1300841085231
processors,sysinfo,,,"4",1300841085231
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300841085232
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1300841085232
java.specification.name,sysinfo,,,"Java Platform API Specification",1300841085232
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300841085232
java.specification.version,sysinfo,,,"1.6",1300841085232
java.vendor,sysinfo,,,"Apple Inc.",1300841085232
java.version,sysinfo,,,"1.6.0_20",1300841085232
java.vm.info,sysinfo,,,"mixed mode",1300841085232
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1300841085232
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300841085232
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300841085232
java.vm.specification.version,sysinfo,,,"1.0",1300841085232
java.vm.vendor,sysinfo,,,"Apple Inc.",1300841085232
java.vm.version,sysinfo,,,"16.3-b01-279",1300841085232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300841086961
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1300841090080
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1300841090140
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1300841090147
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1300841090157
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1300841090310
